,,,,,,
,XAU Curncy,,,,,
,Date,OPEN,HIGH,LOW,LAST_PRICE,Centered Weighted Moving Average
,6/19/17,1254.3,1255.77,1243.14,1243.84,1248.31678571429
,6/20/17,1243.84,1248.14,1241.4,1243.01,1249.90821428571
,6/21/17,1243.01,1247.91,1240.98,1246.48,1248.65035714286
,6/22/17,1246.48,1254.89,1245.38,1250.51,1248.33571428571
,6/23/17,1250.51,1258.97,1249.85,1256.71,1248.78035714286
,6/26/17,1257.3,1258.2,1236.43,1244.72,1248.09107142857
,6/27/17,1244.72,1253.22,1241.43,1247.17,1246.3375
,6/28/17,1247.15,1255.01,1246.44,1249.27,1239.40535714286
,6/29/17,1249.26,1253.23,1239.85,1245.51,1234.36071428571
,6/30/17,1245.51,1248.29,1239.4,1241.61,1231.41
,7/3/17,1241.85,1242.82,1218.26,1220.2,1228.63571428571
,7/4/17,1220.2,1226.59,1219.71,1223.42,1223.45535714286
,7/5/17,1223.68,1228.92,1217.54,1227.04,1220.06464285714
,7/6/17,1227.03,1229.35,1222.63,1225.22,1218.62642857143
,7/7/17,1225.23,1228.62,1207.43,1212.46,1218.73892857143
,7/10/17,1212.95,1215.72,1204.9,1214.36,1218.10785714286
,7/11/17,1214.34,1217.72,1208.29,1217.72,1220.46535714286
,7/12/17,1217.72,1225.8,1213.57,1220.51,1224.11607142857
,7/13/17,1220.51,1224.5,1216.66,1217.58,1229.53928571429
,7/14/17,1217.74,1232.95,1214.9,1228.7,1233.58571428571
,7/17/17,1229.13,1236.1,1228.36,1234.11,1237.48178571429
,7/18/17,1234.11,1244.66,1232.91,1242.47,1243.04428571429
,7/19/17,1242.47,1244.09,1236.05,1241.25,1247.45571428571
,7/20/17,1241.25,1247.64,1235.37,1244.49,1249.21
,7/21/17,1244.55,1255.82,1243.46,1254.98,1252.81892857143
,7/24/17,1255.44,1258.9,1252.03,1255.3,1255.13928571429
,7/25/17,1255.3,1257.89,1249.19,1250.06,1259.48642857143
,7/26/17,1250.06,1263.57,1243.87,1260.53,1262.76964285714
,7/27/17,1260.53,1265.38,1254.61,1259.15,1264.99178571429
,7/28/17,1259.15,1270.93,1257.48,1269.64,1266.19428571429
,7/31/17,1270.23,1271.23,1265.85,1269.44,1267.47892857143
,8/1/17,1269.44,1274.16,1262.66,1268.76,1265.67142857143
,8/2/17,1268.76,1272.92,1263,1266.65,1263.66535714286
,8/3/17,1266.65,1270.92,1257.02,1268.6,1262.48321428571
,8/4/17,1268.6,1270.33,1254.29,1258.88,1265.69607142857
,8/7/17,1258.83,1260,1255.87,1257.85,1270.93571428571
,8/8/17,1257.85,1265.31,1251.61,1260.96,1276.23571428571
,8/9/17,1260.96,1278.85,1260.53,1277.3,1278.93642857143
,8/10/17,1277.55,1287.92,1274.74,1286.53,1278.49821428571
,8/11/17,1286.53,1292.1,1281.5,1289.31,1280.50321428571
,8/14/17,1290.44,1290.44,1278.69,1282.15,1282.86607142857
,8/15/17,1282.15,1284.47,1267.39,1271.53,1283.25285714286
,8/16/17,1271.53,1283.94,1267.9,1283.11,1285.33321428571
,8/17/17,1283.11,1290.2,1281.83,1288.15,1285.5225
,8/18/17,1288.15,1300.92,1283.64,1284.13,1287.33285714286
,8/21/17,1283.93,1293.85,1280.7,1291.88,1287.68857142857
,8/22/17,1291.88,1292.61,1282.1,1285.08,1288.75071428571
,8/23/17,1285.08,1291.57,1282.84,1290.96,1294.21357142857
,8/24/17,1290.96,1291.31,1284.62,1286.4,1298.66642857143
,8/25/17,1286.4,1294.57,1276.36,1291.35,1302.06535714286
,8/28/17,1292.6,1312.08,1291.92,1310.13,1308.07464285714
,8/29/17,1310.33,1326.08,1305.11,1309.23,1313.73571428571
