,,,,,,
,Start Date,1/25/00,,,,
,End Date,,,,,
,,,,,,
,SPX Index,,,,,
,Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,
,1/24/29,25.06,25.06,25.06,25.06,25.2828571428571
,1/25/29,25.48,25.48,25.48,25.48,25.3453571428571
,1/28/29,25.35,25.35,25.35,25.35,25.4592857142857
,1/29/29,25.36,25.36,25.36,25.36,25.5742857142857
,1/30/29,25.45,25.45,25.45,25.45,25.6171428571429
,1/31/29,25.74,25.74,25.74,25.74,25.6542857142857
,2/1/29,25.84,25.84,25.84,25.84,25.6310714285714
,2/4/29,25.64,25.64,25.64,25.64,25.4078571428571
,2/5/29,25.7,25.7,25.7,25.7,25.1403571428571
,2/6/29,25.49,25.49,25.49,25.49,25.0439285714286
,2/7/29,24.71,24.71,24.71,24.71,24.9671428571429
,2/8/29,24.44,24.44,24.44,24.44,24.8971428571429
,2/11/29,24.98,24.98,24.98,24.98,24.7303571428571
,2/13/29,24.95,24.95,24.95,24.95,24.6217857142857
,2/14/29,24.85,24.85,24.85,24.85,24.55
,2/15/29,24.35,24.35,24.35,24.35,24.5425
,2/18/29,24.39,24.39,24.39,24.39,24.5971428571429
,2/19/29,24.38,24.38,24.38,24.38,24.6685714285714
,2/20/29,24.59,24.59,24.59,24.59,24.7514285714286
,2/21/29,24.86,24.86,24.86,24.86,24.9057142857143
,2/25/29,24.91,24.91,24.91,24.91,25.1128571428571
,2/26/29,24.95,24.95,24.95,24.95,25.3371428571429
,2/27/29,25.25,25.25,25.25,25.25,25.4246428571429
,2/28/29,25.59,25.59,25.59,25.59,25.4375
,3/1/29,25.83,25.83,25.83,25.83,25.3339285714286
,3/4/29,25.49,25.49,25.49,25.49,25.2875
,3/5/29,25.32,25.32,25.32,25.32,25.2739285714286
,3/6/29,24.92,24.92,24.92,24.92,25.1682142857143
,3/7/29,25.15,25.15,25.15,25.15,25.0903571428571
,3/8/29,25.31,25.31,25.31,25.31,25.1107142857143
,3/11/29,24.95,24.95,24.95,24.95,25.2625
,3/12/29,24.97,24.97,24.97,24.97,25.4871428571429
,3/13/29,25.24,25.24,25.24,25.24,25.6603571428571
,3/14/29,25.73,25.73,25.73,25.73,25.7992857142857
,3/15/29,26.08,26.08,26.08,26.08,25.91
,3/18/29,26.04,26.04,26.04,26.04,25.9525
,3/19/29,26.03,26.03,26.03,26.03,25.8742857142857
,3/20/29,26.02,26.02,26.02,26.02,25.525
,3/21/29,25.9,25.9,25.9,25.9,25.1792857142857
,3/22/29,25.55,25.55,25.55,25.55,25.0803571428571
,3/25/29,24.51,24.51,24.51,24.51,25.1253571428571
,3/26/29,24.35,24.35,24.35,24.35,25.0257142857143
,3/27/29,25.09,25.09,25.09,25.09,25.0392857142857
,3/28/29,25.53,25.53,25.53,25.53,25.0014285714286
,4/1/29,24.88,24.88,24.88,24.88,25.0982142857143
,4/2/29,25.17,25.17,25.17,25.17,25.1042857142857
,4/3/29,24.86,24.86,24.86,24.86,25.0303571428571
,4/4/29,25.3,25.3,25.3,25.3,24.9157142857143
,4/5/29,25.05,25.05,25.05,25.05,24.8707142857143
,4/8/29,24.83,24.83,24.83,24.83,24.8992857142857
,4/9/29,24.63,24.63,24.63,24.63,24.9542857142857
,4/10/29,24.78,24.78,24.78,24.78,24.9614285714286
,4/11/29,25.06,25.06,25.06,25.06,24.9942857142857
,4/12/29,25.15,25.15,25.15,25.15,25.0917857142857
,4/15/29,25,25,25,25,25.1992857142857
,4/16/29,25.06,25.06,25.06,25.06,25.2732142857143
,4/17/29,25.32,25.32,25.32,25.32,25.3971428571429
,4/18/29,25.43,25.43,25.43,25.43,25.5357142857143
,4/19/29,25.41,25.41,25.41,25.41,25.6242857142857
,4/22/29,25.7,25.7,25.7,25.7,25.6560714285714
,4/23/29,25.85,25.85,25.85,25.85,25.655
,4/24/29,25.75,25.75,25.75,25.75,25.6321428571429
,4/25/29,25.63,25.63,25.63,25.63,25.7082142857143
,4/26/29,25.58,25.58,25.58,25.58,25.7778571428571
,4/29/29,25.53,25.53,25.53,25.53,25.8671428571429
,4/30/29,25.94,25.94,25.94,25.94,26.0121428571429
,5/1/29,25.99,25.99,25.99,25.99,26.1225
,5/2/29,26.11,26.11,26.11,26.11,26.1457142857143
,5/3/29,26.37,26.37,26.37,26.37,26.1789285714286
,5/6/29,26.32,26.32,26.32,26.32,26.1489285714286
,5/7/29,26.07,26.07,26.07,26.07,26.1960714285714
,5/8/29,26.18,26.18,26.18,26.18,26.0557142857143
,5/9/29,26.02,26.02,26.02,26.02,26.0096428571429
,5/10/29,26.34,26.34,26.34,26.34,25.9510714285714
,5/13/29,25.64,25.64,25.64,25.64,25.9421428571429
,5/14/29,25.95,25.95,25.95,25.95,25.9667857142857
,5/15/29,25.84,25.84,25.84,25.84,25.8196428571429
,5/16/29,25.97,25.97,25.97,25.97,25.7725
,5/17/29,26.09,26.09,26.09,26.09,25.5132142857143
,5/20/29,25.39,25.39,25.39,25.39,25.4228571428571
,5/21/29,25.7,25.7,25.7,25.7,25.3078571428571
,5/22/29,24.76,24.76,24.76,24.76,24.9885714285714
,5/23/29,25.31,25.31,25.31,25.31,24.83
,5/24/29,25.12,25.12,25.12,25.12,24.7325
,5/27/29,24.2,24.2,24.2,24.2,24.715
,5/28/29,24.59,24.59,24.59,24.59,24.8385714285714
,5/29/29,24.62,24.62,24.62,24.62,25.0364285714286
,5/31/29,24.83,24.83,24.83,24.83,25.21
,6/3/29,25.27,25.27,25.27,25.27,25.3792857142857
,6/4/29,25.64,25.64,25.64,25.64,25.4696428571429
,6/5/29,25.59,25.59,25.59,25.59,25.4614285714286
,6/6/29,25.64,25.64,25.64,25.64,25.47
,6/7/29,25.53,25.53,25.53,25.53,25.4621428571429
,6/10/29,25.27,25.27,25.27,25.27,25.5453571428571
,6/11/29,25.43,25.43,25.43,25.43,25.6439285714286
,6/12/29,25.45,25.45,25.45,25.45,25.8503571428571
,6/13/29,25.84,25.84,25.84,25.84,26.0317857142857
,6/14/29,25.93,25.93,25.93,25.93,26.1564285714286
,6/17/29,26.41,26.41,26.41,26.41,26.2810714285714
,6/18/29,26.42,26.42,26.42,26.42,26.4060714285714
,6/19/29,26.32,26.32,26.32,26.32,26.4892857142857
,6/20/29,26.47,26.47,26.47,26.47,26.6146428571429
,6/21/29,26.62,26.62,26.62,26.62,26.7453571428571
,6/24/29,26.62,26.62,26.62,26.62,26.8653571428571
,6/25/29,26.9,26.9,26.9,26.9,27.0357142857143
,6/26/29,27.06,27.06,27.06,27.06,27.2571428571429
,6/27/29,27.11,27.11,27.11,27.11,27.5046428571429
,6/28/29,27.41,27.41,27.41,27.41,27.7307142857143
,7/1/29,27.77,27.77,27.77,27.77,27.9360714285714
,7/2/29,28.06,28.06,28.06,28.06,28.1032142857143
,7/3/29,28.18,28.18,28.18,28.18,28.2010714285714
,7/5/29,28.32,28.32,28.32,28.32,28.2371428571429
,7/8/29,28.37,28.37,28.37,28.37,28.26
,7/9/29,28.28,28.28,28.28,28.28,28.3428571428571
,7/10/29,28.2,28.2,28.2,28.2,28.3775
,7/11/29,28.26,28.26,28.26,28.26,28.4525
,7/12/29,28.57,28.57,28.57,28.57,28.5332142857143
,7/15/29,28.45,28.45,28.45,28.45,28.5864285714286
,7/16/29,28.65,28.65,28.65,28.65,28.6510714285714
,7/17/29,28.72,28.72,28.72,28.72,28.6132142857143
,7/18/29,28.66,28.66,28.66,28.66,28.6692857142857
,7/19/29,28.76,28.76,28.76,28.76,28.6685714285714
,7/22/29,28.43,28.43,28.43,28.43,28.6935714285714
,7/23/29,28.83,28.83,28.83,28.83,28.6867857142857
,7/24/29,28.64,28.64,28.64,28.64,28.5621428571429
,7/25/29,28.77,28.77,28.77,28.77,28.5346428571429
,7/26/29,28.66,28.66,28.66,28.66,28.6114285714286
,7/29/29,28.18,28.18,28.18,28.18,28.7221428571429
,7/30/29,28.5,28.5,28.5,28.5,28.9439285714286
,7/31/29,28.88,28.88,28.88,28.88,29.1278571428571
,8/1/29,29.08,29.08,29.08,29.08,29.2567857142857
,8/2/29,29.56,29.56,29.56,29.56,29.2832142857143
,8/5/29,29.54,29.54,29.54,29.54,29.3607142857143
,8/6/29,29.43,29.43,29.43,29.43,29.1310714285714
,8/7/29,29.13,29.13,29.13,29.13,29.1417857142857
,8/8/29,29.47,29.47,29.47,29.47,29.2107142857143
,8/9/29,28.38,28.38,28.38,28.38,29.3032142857143
,8/12/29,29.27,29.27,29.27,29.27,29.4053571428571
,8/13/29,29.53,29.53,29.53,29.53,29.6364285714286
,8/14/29,29.62,29.62,29.62,29.62,29.8985714285714
,8/15/29,29.67,29.67,29.67,29.67,30.1689285714286
,8/16/29,30.22,30.22,30.22,30.22,30.3246428571429
,8/19/29,30.5,30.5,30.5,30.5,30.4946428571429
,8/20/29,30.68,30.68,30.68,30.68,30.6946428571429
,8/21/29,30.55,30.55,30.55,30.55,30.8371428571429
,8/22/29,30.79,30.79,30.79,30.79,30.9246428571429
,8/23/29,31.09,31.09,31.09,31.09,30.9675
,8/26/29,31.07,31.07,31.07,31.07,31.0678571428571
,8/27/29,31.05,31.05,31.05,31.05,31.2514285714286
,8/28/29,30.99,30.99,30.99,30.99,31.4210714285714
,8/29/29,31.29,31.29,31.29,31.29,31.5289285714286
,8/30/29,31.71,31.71,31.71,31.71,31.4392857142857
,9/3/29,31.82,31.82,31.82,31.82,31.5539285714286
,9/4/29,31.72,31.72,31.72,31.72,31.6007142857143
,9/5/29,31.02,31.02,31.02,31.02,31.4807142857143
,9/6/29,31.83,31.83,31.83,31.83,31.475
,9/9/29,31.67,31.67,31.67,31.67,31.3857142857143
,9/10/29,31.1,31.1,31.1,31.1,31.3721428571429
,9/11/29,31.53,31.53,31.53,31.53,31.4907142857143
