Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
09/06/2004,1339.23,1344.07,1338.83,1343.53,1393.9717857143
10/06/2004,1347.14,1361.52,1346.25,1361.12,1409.0764285714
13/06/2004,1406.74,1460.06,1406.53,1458.7,1421.2192857143
14/06/2004,1465.03,1484.25,1434.28,1438.82,1429.2414285714
15/06/2004,1438.21,1441.69,1405.52,1433.66,1433.4646428572
16/06/2004,1433.45,1445.86,1432.35,1436.13,1439.5832142857
17/06/2004,1435.93,1441.98,1429.76,1433.79,1440.0007142857
20/06/2004,1432.26,1434.13,1424.51,1432,1442.7742857143
21/06/2004,1431.59,1452.58,1429.69,1452.22,1446.7653571429
22/06/2004,1452.22,1464.4,1439.08,1442.43,1449.8985714286
23/06/2004,1441.71,1454.84,1439.04,1449.53,1458.1335714286
24/06/2004,1449.53,1461.23,1449.53,1455.93,1466.4982142857
27/06/2004,1456.8,1469.47,1453.33,1455.68,1474.6675
28/06/2004,1455.68,1486.3,1455.68,1478.88,1485.1242857143
29/06/2004,1480.31,1491.49,1477.6,1485.84,1493.5678571429
30/06/2004,1485.41,1495.97,1485.41,1492.75,1503.7714285714
01/07/2004,1499.44,1509.54,1495.24,1507.69,1517.6464285714
04/07/2004,1497.05,1508.96,1487.62,1508.96,1530.0721428572
05/07/2004,1506.32,1525.39,1505.88,1524.49,1540.6232142857
06/07/2004,1525.68,1549.63,1525.68,1548.97,1548.36
07/07/2004,1548.5,1560.36,1548.5,1556.5,1555.3225
08/07/2004,1556.69,1567.95,1556.69,1560.09,1561.1446428572
11/07/2004,1565.16,1565.35,1556.56,1559.44,1565.9503571429
12/07/2004,1559.44,1567.21,1557.94,1565.87,1567.925
13/07/2004,1565.87,1574.38,1565.21,1569.62,1568.8235714286
14/07/2004,1569.62,1576.1,1564.73,1574.22,1569.8789285714
15/07/2004,1574.33,1574.33,1566.75,1570,1571.0396428572
18/07/2004,1572.21,1575.29,1568.7,1568.7,1573.8964285714
19/07/2004,1568.88,1579.79,1566.91,1571.07,1576.5721428572
