Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
17/06/75 00:00,1.3789,1.3789,1.3789,1.3789,1.3757821429
18/06/75 00:00,1.3753,1.3753,1.3753,1.3753,1.3746142857
19/06/75 00:00,1.374,1.374,1.374,1.374,1.3735035714
20/06/75 00:00,1.3748,1.3748,1.3748,1.3748,1.3727857143
23/06/75 00:00,1.3716,1.3716,1.3716,1.3716,1.3718535714
24/06/75 00:00,1.371,1.371,1.371,1.371,1.3702571429
25/06/75 00:00,1.3719,1.3719,1.3719,1.3719,1.3679571429
26/06/75 00:00,1.3702,1.3702,1.3702,1.3702,1.3649285714
27/06/75 00:00,1.3663,1.3663,1.3663,1.3663,1.3596392857
30/06/75 00:00,1.3622,1.3622,1.3622,1.3622,1.3547607143
01/07/75 00:00,1.3576,1.3576,1.3576,1.3576,1.3504428571
02/07/75 00:00,1.3461,1.3461,1.3461,1.3461,1.3455
03/07/75 00:00,1.3441,1.3441,1.3441,1.3441,1.3426357143
04/07/75 00:00,1.3425,1.3425,1.3425,1.3425,1.3411142857
07/07/75 00:00,1.3358,1.3358,1.3358,1.3358,1.3380357143
08/07/75 00:00,1.3392,1.3392,1.3392,1.3392,1.3341178571
09/07/75 00:00,1.3407,1.3407,1.3407,1.3407,1.3296285714
10/07/75 00:00,1.3314,1.3314,1.3314,1.3314,1.3259892857
11/07/75 00:00,1.3243,1.3243,1.3243,1.3243,1.32045
14/07/75 00:00,1.3189,1.3189,1.3189,1.3189,1.3146392857
15/07/75 00:00,1.3187,1.3187,1.3187,1.3187,1.3087107143
16/07/75 00:00,1.3077,1.3077,1.3077,1.3077,1.3026964286
17/07/75 00:00,1.3026,1.3026,1.3026,1.3026,1.298575
18/07/75 00:00,1.2969,1.2969,1.2969,1.2969,1.2923821429
21/07/75 00:00,1.2903,1.2903,1.2903,1.2903,1.2874857143
22/07/75 00:00,1.292,1.292,1.292,1.292,1.2847714286
23/07/75 00:00,1.2791,1.2791,1.2791,1.2791,1.2807892857
24/07/75 00:00,1.2786,1.2786,1.2786,1.2786,1.2768964286
25/07/75 00:00,1.2816,1.2816,1.2816,1.2816,1.2730035714
28/07/75 00:00,1.2728,1.2728,1.2728,1.2728,1.2697178571
29/07/75 00:00,1.2689,1.2689,1.2689,1.2689,1.2674178571
30/07/75 00:00,1.2649,1.2649,1.2649,1.2649,1.2658214286
31/07/75 00:00,1.2637,1.2637,1.2637,1.2637,1.2663142857
01/08/75 00:00,1.2636,1.2636,1.2636,1.2636,1.2660035714
04/08/75 00:00,1.2642,1.2642,1.2642,1.2642,1.2640214286
05/08/75 00:00,1.2705,1.2705,1.2705,1.2705,1.2628285714
06/08/75 00:00,1.2657,1.2657,1.2657,1.2657,1.261225
07/08/75 00:00,1.258,1.258,1.258,1.258,1.2598285714
08/08/75 00:00,1.2596,1.2596,1.2596,1.2596,1.2590142857
11/08/75 00:00,1.2572,1.2572,1.2572,1.2572,1.2589285714
12/08/75 00:00,1.2571,1.2571,1.2571,1.2571,1.2594214286
13/08/75 00:00,1.2585,1.2585,1.2585,1.2585,1.2605392857
14/08/75 00:00,1.2606,1.2606,1.2606,1.2606,1.2627892857
15/08/75 00:00,1.2615,1.2615,1.2615,1.2615,1.2641142857
18/08/75 00:00,1.2634,1.2634,1.2634,1.2634,1.2650392857
19/08/75 00:00,1.2687,1.2687,1.2687,1.2687,1.2652714286
20/08/75 00:00,1.2663,1.2663,1.2663,1.2663,1.2643892857
21/08/75 00:00,1.266,1.266,1.266,1.266,1.2633714286
22/08/75 00:00,1.2645,1.2645,1.2645,1.2645,1.2621928571
26/08/75 00:00,1.2609,1.2609,1.2609,1.2609,1.2608
27/08/75 00:00,1.2604,1.2604,1.2604,1.2604,1.2591821429
28/08/75 00:00,1.2596,1.2596,1.2596,1.2596,1.2581892857
29/08/75 00:00,1.2582,1.2582,1.2582,1.2582,1.25835
01/09/75 00:00,1.2558,1.2558,1.2558,1.2558,1.2579178571
02/09/75 00:00,1.2568,1.2568,1.2568,1.2568,1.2574214286
03/09/75 00:00,1.2601,1.2601,1.2601,1.2601,1.2570964286
04/09/75 00:00,1.2571,1.2571,1.2571,1.2571,1.2571607143
05/09/75 00:00,1.2563,1.2563,1.2563,1.2563,1.256425
08/09/75 00:00,1.2564,1.2564,1.2564,1.2564,1.2554464286
09/09/75 00:00,1.2575,1.2575,1.2575,1.2575,1.2540785714
10/09/75 00:00,1.2542,1.2542,1.2542,1.2542,1.2526642857
11/09/75 00:00,1.253,1.253,1.253,1.253,1.249575
12/09/75 00:00,1.2509,1.2509,1.2509,1.2509,1.2454857143
15/09/75 00:00,1.2494,1.2494,1.2494,1.2494,1.2413678571
16/09/75 00:00,1.2416,1.2416,1.2416,1.2416,1.2375214286
17/09/75 00:00,1.2355,1.2355,1.2355,1.2355,1.2322928571
18/09/75 00:00,1.2324,1.2324,1.2324,1.2324,1.2262107143
19/09/75 00:00,1.2299,1.2299,1.2299,1.2299,1.2225857143
22/09/75 00:00,1.2209,1.2209,1.2209,1.2209,1.2216321429
23/09/75 00:00,1.2129,1.2129,1.2129,1.2129,1.2202785714
24/09/75 00:00,1.2173,1.2173,1.2173,1.2173,1.2183571429
25/09/75 00:00,1.2234,1.2234,1.2234,1.2234,1.2194964286
26/09/75 00:00,1.2192,1.2192,1.2192,1.2192,1.2237857143
29/09/75 00:00,1.2146,1.2146,1.2146,1.2146,1.2276821429
30/09/75 00:00,1.2243,1.2243,1.2243,1.2243,1.2288035714
01/10/75 00:00,1.2361,1.2361,1.2361,1.2361,1.2312821429
02/10/75 00:00,1.2367,1.2367,1.2367,1.2367,1.2347571429
03/10/75 00:00,1.229,1.229,1.229,1.229,1.2365714286
06/10/75 00:00,1.2361,1.2361,1.2361,1.2361,1.2383571429
07/10/75 00:00,1.2419,1.2419,1.2419,1.2419,1.2419928571
08/10/75 00:00,1.2385,1.2385,1.2385,1.2385,1.2464214286
09/10/75 00:00,1.2418,1.2418,1.2418,1.2418,1.2470714286
10/10/75 00:00,1.2517,1.2517,1.2517,1.2517,1.2495785714
13/10/75 00:00,1.2571,1.2571,1.2571,1.2571,1.252525
14/10/75 00:00,1.2449,1.2449,1.2449,1.2449,1.2542607143
15/10/75 00:00,1.2546,1.2546,1.2546,1.2546,1.2553
16/10/75 00:00,1.259,1.259,1.259,1.259,1.2562928571
17/10/75 00:00,1.2566,1.2566,1.2566,1.2566,1.2583
20/10/75 00:00,1.2564,1.2564,1.2564,1.2564,1.2595607143
21/10/75 00:00,1.2583,1.2583,1.2583,1.2583,1.2601892857
22/10/75 00:00,1.2633,1.2633,1.2633,1.2633,1.2600142857
23/10/75 00:00,1.2612,1.2612,1.2612,1.2612,1.259475
24/10/75 00:00,1.261,1.261,1.261,1.261,1.2589142857
27/10/75 00:00,1.2587,1.2587,1.2587,1.2587,1.259875
28/10/75 00:00,1.2572,1.2572,1.2572,1.2572,1.2607035714
29/10/75 00:00,1.2572,1.2572,1.2572,1.2572,1.2616464286
30/10/75 00:00,1.2634,1.2634,1.2634,1.2634,1.2617607143
31/10/75 00:00,1.2636,1.2636,1.2636,1.2636,1.2607178571
03/11/75 00:00,1.2641,1.2641,1.2641,1.2641,1.26065
04/11/75 00:00,1.2612,1.2612,1.2612,1.2612,1.260375
05/11/75 00:00,1.2566,1.2566,1.2566,1.2566,1.2598321429
06/11/75 00:00,1.2602,1.2602,1.2602,1.2602,1.2589428571
07/11/75 00:00,1.2598,1.2598,1.2598,1.2598,1.2585607143
10/11/75 00:00,1.2591,1.2591,1.2591,1.2591,1.2577142857
11/11/75 00:00,1.2571,1.2571,1.2571,1.2571,1.2553464286
12/11/75 00:00,1.2582,1.2582,1.2582,1.2582,1.2508642857
13/11/75 00:00,1.2555,1.2555,1.2555,1.2555,1.2475642857
14/11/75 00:00,1.2486,1.2486,1.2486,1.2486,1.2455964286
17/11/75 00:00,1.239,1.239,1.239,1.239,1.2455678571
18/11/75 00:00,1.2407,1.2407,1.2407,1.2407,1.2445107143
19/11/75 00:00,1.2433,1.2433,1.2433,1.2433,1.2438285714
20/11/75 00:00,1.2488,1.2488,1.2488,1.2488,1.2438964286
21/11/75 00:00,1.2435,1.2435,1.2435,1.2435,1.242925
24/11/75 00:00,1.2429,1.2429,1.2429,1.2429,1.2414928571
25/11/75 00:00,1.2441,1.2441,1.2441,1.2441,1.23945
26/11/75 00:00,1.2393,1.2393,1.2393,1.2393,1.2382428571
27/11/75 00:00,1.2375,1.2375,1.2375,1.2375,1.2380428571
28/11/75 00:00,1.2346,1.2346,1.2346,1.2346,1.2377785714
01/12/75 00:00,1.2367,1.2367,1.2367,1.2367,1.2379607143
02/12/75 00:00,1.239,1.239,1.239,1.239,1.2379178571
03/12/75 00:00,1.2381,1.2381,1.2381,1.2381,1.2379107143
04/12/75 00:00,1.2392,1.2392,1.2392,1.2392,1.2370535714
05/12/75 00:00,1.2376,1.2376,1.2376,1.2376,1.2364142857
08/12/75 00:00,1.2375,1.2375,1.2375,1.2375,1.2357642857
09/12/75 00:00,1.2341,1.2341,1.2341,1.2341,1.2348464286
10/12/75 00:00,1.2349,1.2349,1.2349,1.2349,1.2333892857
11/12/75 00:00,1.2346,1.2346,1.2346,1.2346,1.2325357143
12/12/75 00:00,1.2329,1.2329,1.2329,1.2329,1.2324142857
15/12/75 00:00,1.23,1.23,1.23,1.23,1.23305
16/12/75 00:00,1.2311,1.2311,1.2311,1.2311,1.2339107143
17/12/75 00:00,1.2331,1.2331,1.2331,1.2331,1.2349357143
18/12/75 00:00,1.2355,1.2355,1.2355,1.2355,1.2362071429
