Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CMA
06/09/1928,20.94,20.94,20.94,20.94,21.0110714286
07/09/1928,21.09,21.09,21.09,21.09,21.0532142857
10/09/1928,20.92,20.92,20.92,20.92,21.08
11/09/1928,21.08,21.08,21.08,21.08,21.1007142857
12/09/1928,21.16,21.16,21.16,21.16,21.1664285714
13/09/1928,21.14,21.14,21.14,21.14,21.1807142857
14/09/1928,21.14,21.14,21.14,21.14,21.1917857143
17/09/1928,21.33,21.33,21.33,21.33,21.2035714286
18/09/1928,21.18,21.18,21.18,21.18,21.2453571429
19/09/1928,21.18,21.18,21.18,21.18,21.2975
20/09/1928,21.22,21.22,21.22,21.22,21.3342857143
21/09/1928,21.36,21.36,21.36,21.36,21.3589285714
24/09/1928,21.43,21.43,21.43,21.43,21.3135714286
25/09/1928,21.41,21.41,21.41,21.41,21.2725
26/09/1928,21.4,21.4,21.4,21.4,21.2878571429
27/09/1928,21.13,21.13,21.13,21.13,21.2732142857
28/09/1928,21.14,21.14,21.14,21.14,21.2446428571
01/10/1928,21.36,21.36,21.36,21.36,21.2421428571
02/10/1928,21.26,21.26,21.26,21.26,21.235
03/10/1928,21.19,21.19,21.19,21.19,21.2067857143
04/10/1928,21.26,21.26,21.26,21.26,21.1967857143
05/10/1928,21.22,21.22,21.22,21.22,21.2428571429
08/10/1928,21.11,21.11,21.11,21.11,21.3121428571
09/10/1928,21.18,21.18,21.18,21.18,21.4075
10/10/1928,21.41,21.41,21.41,21.41,21.5039285714
11/10/1928,21.51,21.51,21.51,21.51,21.6014285714
15/10/1928,21.65,21.65,21.65,21.65,21.6910714286
16/10/1928,21.72,21.72,21.72,21.72,21.7846428571
17/10/1928,21.79,21.79,21.79,21.79,21.8128571429
18/10/1928,21.84,21.84,21.84,21.84,21.8617857143
19/10/1928,21.96,21.96,21.96,21.96,21.905
22/10/1928,21.81,21.81,21.81,21.81,21.9160714286
23/10/1928,21.95,21.95,21.95,21.95,21.8553571429
24/10/1928,21.99,21.99,21.99,21.99,21.8871428571
25/10/1928,21.91,21.91,21.91,21.91,21.8532142857
