Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CMA
22/05/1901,73.51,73.51,73.51,73.51,73.3996428571429
23/05/1901,72.83,72.83,72.83,72.83,73.5796428571429
24/05/1901,73.73,73.73,73.73,73.73,73.8517857142857
27/05/1901,73.67,73.67,73.67,73.67,74.3764285714286
28/05/1901,74.01,74.01,74.01,74.01,75.3078571428572
29/05/1901,74.51,74.51,74.51,74.51,75.9235714285714
31/05/1901,75.77,75.77,75.77,75.77,76.2128571428571
03/06/1901,77.73,77.73,77.73,77.73,76.4278571428572
04/06/1901,77.07,77.07,77.07,77.07,76.5085714285715
05/06/1901,76.37,76.37,76.37,76.37,76.4971428571429
06/06/1901,76.45,76.45,76.45,76.45,76.3828571428571
07/06/1901,76.31,76.31,76.31,76.31,76.3664285714286
10/06/1901,76.27,76.27,76.27,76.27,76.5821428571428
11/06/1901,76.11,76.11,76.11,76.11,76.7292857142857
12/06/1901,76.55,76.55,76.55,76.55,77.1489285714286
13/06/1901,77.31,77.31,77.31,77.31,77.3939285714286
14/06/1901,77.07,77.07,77.07,77.07,77.52
17/06/1901,78.26,78.26,78.26,78.26,77.515
18/06/1901,77.82,77.82,77.82,77.82,77.6503571428571
19/06/1901,77.56,77.56,77.56,77.56,77.6785714285714
20/06/1901,77.22,77.22,77.22,77.22,77.4975
21/06/1901,77.94,77.94,77.94,77.94,77.3064285714286
24/06/1901,77.71,77.71,77.71,77.71,77.1525
25/06/1901,76.93,76.93,76.93,76.93,76.9467857142857
26/06/1901,76.87,76.87,76.87,76.87,76.9325
27/06/1901,76.82,76.82,76.82,76.82,76.9207142857143
28/06/1901,76.47,76.47,76.47,76.47,76.8225
01/07/1901,77.08,77.08,77.08,77.08,76.1239285714286
02/07/1901,77.07,77.07,77.07,77.07,75.6835714285714
03/07/1901,76.6,76.6,76.6,76.6,74.8521428571429
08/07/1901,74.04,74.04,74.04,74.04,74.025
09/07/1901,74.66,74.66,74.66,74.66,72.9871428571429
10/07/1901,72.78,72.78,72.78,72.78,71.8471428571429
11/07/1901,72.22,72.22,72.22,72.22,71.0314285714286
12/07/1901,70.77,70.77,70.77,70.77,70.9332142857143
15/07/1901,69.46,69.46,69.46,69.46,71.0139285714286
16/07/1901,69.67,69.67,69.67,69.67,71.2078571428571
17/07/1901,71.55,71.55,71.55,71.55,71.0457142857143
18/07/1901,71.91,71.91,71.91,71.91,71.1875
19/07/1901,71.97,71.97,71.97,71.97,71.1871428571429
22/07/1901,70.43,70.43,70.43,70.43,71.33
23/07/1901,71.39,71.39,71.39,71.39,71.5107142857143
24/07/1901,70.91,70.91,70.91,70.91,71.8732142857143
25/07/1901,71.69,71.69,71.69,71.69,72.1264285714286
26/07/1901,72.13,72.13,72.13,72.13,72.1003571428571
29/07/1901,72.94,72.94,72.94,72.94,72.0514285714286
30/07/1901,72.65,72.65,72.65,72.65,71.8835714285714
31/07/1901,71.63,71.63,71.63,71.63,71.185
01/08/1901,71.71,71.71,71.71,71.71,70.535
02/08/1901,71.28,71.28,71.28,71.28,70.115
05/08/1901,69.21,69.21,69.21,69.21,70.0392857142857
06/08/1901,69.05,69.05,69.05,69.05,69.8532142857143
07/08/1901,69.53,69.53,69.53,69.53,69.8
08/08/1901,70.42,70.42,70.42,70.42,69.9160714285714
09/08/1901,69.66,69.66,69.66,69.66,70.1610714285714
12/08/1901,69.91,69.91,69.91,69.91,70.6025
13/08/1901,70.33,70.33,70.33,70.33,70.9164285714286
