
,XAU Curncy,,,,,,
,Date,OPEN,HIGH,LOW,LAST_PRICE,Centered Weighted Moving Average,
,09-27-17,1293.98,1296.25,1281.56,1282.78,1283.7439285714286,
,09-28-17,1282.78,1288.8699999999999,1277.83,1287.3,1279.4082142857144,
,09-29-17,1287.29,1290.3800000000001,1276.1600000000001,1279.75,1276.7857142857142,
,10-02-17,1279.8599999999999,1280.3399999999999,1269.77,1271.1300000000001,1273.7889285714284,
,10-03-17,1271.1300000000001,1274.76,1268.4100000000001,1271.6600000000001,1273.8271428571429,
,10-04-17,1271.6600000000001,1282.29,1269.01,1274.8499999999999,1275.9257142857143,
,10-05-17,1274.8499999999999,1279.07,1266.6400000000001,1268.22,1279.1353571428572,
,10-06-17,1268.46,1276.8699999999999,1260.67,1276.68,1282.9717857142859,
,10-09-17,1276.42,1285.52,1275.3800000000001,1284.05,1286.5728571428572,
,10-10-17,1284.05,1294.31,1282.2,1288.03,1291.9110714285712,
,10-11-17,1288.03,1293.6199999999999,1284.67,1291.72,1294.2071428571428,
,10-12-17,1291.72,1297.54,1289.75,1293.72,1292.8510714285715,
,10-13-17,1293.72,1303.93,1291.24,1303.82,1290.1835714285714,
,10-16-17,1303.3800000000001,1306.1099999999999,1290.5999999999999,1295.79,1289.8846428571428,
,10-17-17,1295.81,1297.17,1281.49,1285.1199999999999,1287.0957142857144,
,10-18-17,1285.1199999999999,1288.95,1277.04,1281.08,1285.1585714285716,
,10-19-17,1281.08,1290.73,1276.51,1290.1300000000001,1282.2078571428572,
,10-20-17,1290.1300000000001,1291.17,1278.05,1280.47,1280.4675000000002,
,10-23-17,1279.55,1283.4000000000001,1272.6099999999999,1282.27,1276.7442857142858,
,10-24-17,1282.4100000000001,1283.73,1273.81,1276.58,1275.2585714285713,
,10-25-17,1276.58,1280.0999999999999,1271.0899999999999,1277.53,1274.7839285714285,
,10-26-17,1277.53,1282.6199999999999,1265.8499999999999,1266.99,1273.5935714285713,
,10-27-17,1266.99,1274.7,1263.8499999999999,1273.3499999999999,1273.5278571428571,
,10-30-17,1273.1400000000001,1278.93,1269.05,1276.29,1274.1014285714286,
,10-31-17,1276.29,1278.23,1267.78,1271.45,1273.1360714285713,
,11-01-17,1271.45,1280.98,1268.05,1274.6600000000001,1275.4528571428571,
,11-02-17,1274.6600000000001,1284.23,1273.17,1276.1300000000001,1275.5728571428572,
,11-03-17,1276,1280.08,1265.5999999999999,1269.9100000000001,1277.1382142857142,
,11-06-17,1270.06,1283.04,1266.1500000000001,1281.95,1279.4500000000003,
,11-07-17,1281.95,1282.22,1271.95,1275.3,1278.775357142857,
,11-08-17,1275.3,1287.31,1275.03,1281.3599999999999,1278.8960714285715,
,11-09-17,1281.3599999999999,1288.52,1279.76,1285.07,1279.4239285714284,
,11-10-17,1285.07,1287.1500000000001,1273.5,1275.07,1279.0550000000001,
,11-13-17,1274.93,1279.82,1274.33,1278.31,1278.9321428571427,
,11-14-17,1278.31,1283.67,1270.0999999999999,1280.25,1282.152142857143,
,11-15-17,1280.25,1289.6099999999999,1276.8,1278.1400000000001,1281.1021428571428,
,11-16-17,1278.1400000000001,1281.82,1275.22,1278.58,1281.265714285714,
,11-17-17,1278.58,1297.05,1278.3800000000001,1292.42,1284.1089285714284,
,11-20-17,1294.24,1294.8800000000001,1274.5999999999999,1276.92,1286.2964285714286,
,11-21-17,1276.92,1284.79,1276.32,1280.6099999999999,1287.3082142857145,
,11-22-17,1280.6099999999999,1294.75,1279.1500000000001,1292.1199999999999,1289.4921428571429,
,11-23-17,1292.1199999999999,1293.6400000000001,1287.0999999999999,1291.47,1290.9717857142857,
,11-24-17,1291.47,1293.31,1285.74,1288.3699999999999,1289.8107142857141,
,11-27-17,1288.6500000000001,1299.29,1286.83,1294.52,1286.2521428571431,
,11-28-17,1294.52,1297.48,1290.76,1293.98,1284.2960714285716,
,11-29-17,1293.99,1296.76,1282.1199999999999,1283.6400000000001,1281.6407142857145,
,11-30-17,1283.6400000000001,1285.3599999999999,1270.42,1275.01,1276.9289285714283,
,12-01-17,1275.01,1289.3499999999999,1271.71,1280.6199999999999,1272.4242857142858,
,12-04-17,1280.4000000000001,1280.4000000000001,1271.19,1276.18,1264.9946428571427,
,12-05-17,1276.18,1277.1500000000001,1261.04,1265.77,1259.5525,
,12-06-17,1265.77,1269.3399999999999,1262.6099999999999,1263.3699999999999,1253.7482142857145,
,12-07-17,1263.3699999999999,1264.5899999999999,1244.02,1247.22,1249.7396428571428,
,12-08-17,1247.22,1252.45,1244.1099999999999,1248.49,1249.7739285714285,
,12-11-17,1247.76,1251.6099999999999,1240.81,1242.02,1249.911785714286,
,12-12-17,1242.02,1246.29,1236.55,1244.49,1251.3771428571431,
,12-13-17,1244.49,1257.18,1240.3699999999999,1255.5,1254.5449999999998,
,12-14-17,1255.44,1259.1600000000001,1250.55,1252.96,1257.0357142857142,
,12-15-17,1252.93,1261.8699999999999,1249.06,1256.44,1260.0221428571429,
,12-18-17,1255.01,1264.05,1252.82,1262.26,1262.425,
,12-19-17,1262.26,1265.3399999999999,1259.3,1261.7,1265.9282142857141,
,12-20-17,1261.7,1267.98,1261.45,1265.57,1271,
,12-21-17,1265.55,1269.06,1262.8900000000001,1266.5999999999999,1276.0153571428571,
,12-22-17,1266.5999999999999,1276.29,1265.07,1274.1600000000001,1281.8978571428572,
,12-26-17,1275.19,1284.48,1273.54,1283.0999999999999,1288.5496428571428,
,12-27-17,1283.07,1289.07,1281.3900000000001,1287.18,1297.4235714285714,
,12-28-17,1287.18,1295.25,1286.74,1295.04,1303.3532142857146,
,12-29-17,1295.04,1307.6600000000001,1293.8699999999999,1302.8,1310.0682142857145,
,01-02-18,1303.45,1319.01,1302.5899999999999,1317.56,1314.1835714285714,
,01-03-18,1317.56,1321.56,1307.5999999999999,1313.21,1317.1982142857141,
,01-04-18,1313.21,1326.07,1305.98,1323.01,1317.1389285714288,
,01-05-18,1323.01,1323.47,1313.77,1319.59,1317.4535714285714,
,01-08-18,1319.59,1322.2,1314.91,1320.4,1318.6524999999997,
,01-09-18,1320.4,1320.75,1308.97,1312.85,1323.4771428571428,
,01-10-18,1312.85,1327.77,1308.33,1316.89,1328.0167857142858,
,01-11-18,1316.87,1324.02,1315.79,1322.44,1331.5550000000001,
,01-12-18,1322.44,1339.42,1321.67,1337.64,1331.5285714285715,
,01-15-18,1336.84,1344.81,1336.09,1339.99,1331.3196428571428,
,01-16-18,1339.99,1342.36,1331.97,1338.41,forecast,
,01-17-18,1338.42,1344.05,1326.2,1326.84,forecast,
,01-18-18,1326.84,1333.18,1324.33,1327.03,forecast,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
